temperature_c,humidity_percent,co2_ppm,methane_ppm,smoke_density,air_quality_index,room_type,status,heat_index,gas_ratio,fire_risk_score,air_degradation,hour,day_of_week
23.94,48.7,706,0.0,5.9,61,kitchen,Safe,26.375,0.0,1.6724,72.8,9,5
18.51,59.3,646,0.0,9.5,82,basement,Safe,21.475,0.0,1.4906,101.0,9,5
22.42,40.2,652,0.0,3.7,130,basement,Safe,24.430000000000003,0.0,1.4932,137.4,9,5
22.37,48.0,481,0.0,9.3,105,basement,Safe,24.77,0.0,1.7142000000000004,123.6,9,5
25.82,40.4,959,0.0,24.3,218,basement,Warning,27.84,0.0,2.5212,266.6,9,5
31.22,50.1,1509,0.0,16.1,271,living_room,Warning,33.725,0.0,2.5172,303.2,9,5
23.74,49.7,655,0.0,2.9,148,garage,Safe,26.225,0.0,1.5403999999999998,153.8,9,5
34.92,40.4,3284,70.1,62.7,388,basement,Danger,36.940000000000005,0.0213394216133942,4.6032,513.4,9,5
48.61,49.5,1769,81.0,66.5,419,basement,Danger,51.085,0.0457627118644067,5.5766,552.0,9,5
19.59,46.9,761,0.0,7.5,148,living_room,Safe,21.935,0.0,1.4754,163.0,9,5
24.93,55.8,1322,0.0,27.1,240,bedroom,Warning,27.72,0.0,2.5798,294.2,9,5
31.88,58.2,942,0.0,27.2,264,living_room,Warning,34.79,0.0,3.0008000000000004,318.4,9,5
18.219621426475683,56.132603867103136,557,0.0,1.1,92,garage,Safe,21.02625161983084,0.0,1.137177285588541,94.2,9,5
24.27,44.3,631,0.0,9.7,86,kitchen,Safe,26.485,0.0,1.8442,105.4,9,5
28.95,59.9,1430,0.0,28.2,200,garage,Warning,31.945,0.0,2.865,256.4,9,5
39.35,37.8,4293,48.9,88.6,486,living_room,Danger,41.24,0.0113879832324173,5.904999999999999,663.2,9,5
25.05,51.7,799,0.0,6.0,93,kitchen,Safe,27.635,0.0,1.743,105.0,9,5
23.11,53.2,643,0.0,0.9,153,kitchen,Safe,25.77,0.0,1.4226,154.8,9,5
18.44,43.0,580,0.0,-0.1,83,basement,Safe,20.59,0.0,1.1024,82.8,9,5
23.06,46.2,415,0.0,2.5,64,garage,Safe,25.37,0.0,1.4835999999999998,69.0,10,5
21.43,46.9,520,0.0,6.1,89,garage,Safe,23.775,0.0,1.5297999999999998,101.2,10,5
23.2,48.5,417,0.0,3.7,69,garage,Safe,25.625,0.0,1.54,76.4,10,5
17.09,41.0,562,0.0,0.1,123,garage,Safe,19.14,0.0,1.0294,123.2,10,5
21.06,59.3,605,0.0,1.0,113,living_room,Safe,24.025,0.0,1.3036,115.0,10,5
18.71,48.1,656,0.0,5.2,55,kitchen,Safe,21.115,0.0,1.3306,65.4,10,5
22.35,41.9,469,0.0,3.2,74,basement,Safe,24.445,0.0,1.469,80.4,10,5
38.67,39.1,3019,76.05,101.7,508,bedroom,Danger,40.625,0.025182119205298,6.3882,711.4,10,5
21.62,59.0,519,0.0,3.5,95,living_room,Safe,24.57,0.0,1.4372,102.0,10,5
22.94,47.3,470,0.0,7.5,155,basement,Safe,25.305,0.0,1.6764000000000003,170.0,10,5
30.68,51.3,1106,0.0,17.9,202,living_room,Warning,33.245,0.0,2.5568,237.8,10,5
22.06,46.0,413,0.0,1.9,147,bedroom,Safe,24.36,0.0,1.3996,150.8,10,5
22.29,53.2,735,0.0,4.8,65,kitchen,Safe,24.95,0.0,1.5294,74.6,10,5
24.83,46.6,657,0.0,4.8,56,garage,Safe,27.16,0.0,1.6817999999999995,65.6,10,5
30.25,54.1,915,0.0,15.1,280,bedroom,Warning,32.955,0.0,2.419,310.2,10,5
22.08,47.4,550,0.0,8.7,131,living_room,Safe,24.45,0.0,1.6727999999999998,148.4,10,5
24.67,52.8,467,0.0,6.8,63,bedroom,Safe,27.31,0.0,1.7521999999999998,76.6,10,5
23.85,52.6,727,0.0,10.1,90,kitchen,Safe,26.48,0.0,1.835,110.2,10,5
20.22,56.2,585,0.0,8.6,150,living_room,Safe,23.03,0.0,1.5572,167.2,10,5
22.57,56.7,541,0.0,1.2,143,bedroom,Safe,25.405,0.0,1.4022,145.4,10,5
21.59,59.3,521,0.0,8.8,59,kitchen,Safe,24.555,0.0,1.6474,76.6,10,5
21.95,47.3,587,0.0,5.1,84,garage,Safe,24.315,0.0,1.521,94.2,10,5
22.7,44.4,499,0.0,9.9,129,bedroom,Safe,24.92,0.0,1.7579999999999998,148.8,10,5
